,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Busselton,AU,-33.65,115.3333,51.08,82,90,11.05,overcast clouds
1,Oistins,BB,13.0667,-59.5333,80.69,69,40,18.41,scattered clouds
2,Lexington,US,37.9887,-84.4777,87.12,45,1,6.91,clear sky
3,Cap Malheureux,MU,-19.9842,57.6142,72.09,82,22,1.99,few clouds
4,Hobart,AU,-42.8794,147.3294,54.01,94,75,1.01,broken clouds
5,Carnarvon,AU,-24.8667,113.6333,53.67,73,0,9.22,clear sky
6,Bambous Virieux,MU,-20.3428,57.7575,71.85,94,75,5.75,light rain
7,Katsuura,JP,35.1333,140.3,75.24,71,5,6.17,clear sky
8,Ushuaia,AR,-54.8,-68.3,37.06,81,40,23.02,scattered clouds
9,Yellowknife,CA,62.456,-114.3525,73.92,38,75,6.91,broken clouds
10,Iqaluit,CA,63.7506,-68.5145,38.93,69,90,5.99,overcast clouds
11,Bluff,NZ,-46.6,168.3333,49.8,93,100,12.68,moderate rain
12,Albany,US,42.6001,-73.9662,65.68,92,97,2.62,overcast clouds
13,Ahipara,NZ,-35.1667,173.1667,62.78,84,100,6.02,overcast clouds
14,Punta Arenas,CL,-53.15,-70.9167,33.91,75,0,9.22,clear sky
15,Butaritari,KI,3.0707,172.7902,83.68,75,21,16.2,light rain
16,Kaabong,UG,3.4836,34.1492,63.84,69,63,1.63,broken clouds
17,Natal,BR,-5.795,-35.2094,79.45,83,20,11.5,few clouds
18,Stabat,ID,3.761,98.4513,79.0,96,32,2.39,light rain
19,Puerto Ayora,EC,-0.7393,-90.3518,74.55,83,94,8.01,overcast clouds
20,Ciudad Bolivar,VE,8.1222,-63.5497,79.99,79,75,13.65,broken clouds
21,Saskylakh,RU,71.9167,114.0833,42.89,81,100,15.48,overcast clouds
22,Blagoyevo,RU,63.3667,47.9167,51.75,93,77,4.03,broken clouds
23,Tuktoyaktuk,CA,69.4541,-133.0374,55.4,62,20,10.36,few clouds
24,Thompson,CA,55.7435,-97.8558,68.16,52,75,5.75,broken clouds
25,Soanierana Ivongo,MG,-16.9167,49.5833,69.71,93,91,3.27,overcast clouds
26,Sarangani,PH,5.4033,125.4636,81.03,75,100,6.31,overcast clouds
27,São Filipe,CV,14.8961,-24.4956,74.73,71,90,10.94,overcast clouds
28,Adrar,MR,20.5022,-10.0711,97.11,10,74,16.37,broken clouds
29,Ambilobe,MG,-13.2,49.05,68.31,95,1,2.95,clear sky
30,Hilo,US,19.7297,-155.09,79.25,80,34,4.0,scattered clouds
31,Tolyatti,RU,53.5303,49.3461,66.56,96,99,2.19,heavy intensity rain
32,Bilma,NE,18.6853,12.9164,88.45,13,0,9.42,clear sky
33,Necochea,AR,-38.5473,-58.7368,50.41,64,80,12.37,broken clouds
34,Vaini,TO,-21.2,-175.2,77.16,83,75,13.8,broken clouds
35,Tasiilaq,GL,65.6145,-37.6368,29.95,76,14,4.34,few clouds
36,Mar del Plata,AR,-38.0023,-57.5575,50.02,81,90,1.99,overcast clouds
37,Hīt,IQ,33.6416,42.8251,89.17,15,0,5.64,clear sky
38,Atuona,PF,-9.8,-139.0333,79.7,75,39,20.24,scattered clouds
39,Barrow,US,71.2906,-156.7887,39.22,87,90,12.66,overcast clouds
40,Harrisburg,US,40.2737,-76.8844,70.5,85,90,1.01,overcast clouds
