City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Oistins,BB,80.69,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
2,Lexington,US,87.12,clear sky,37.9887,-84.4777,DoubleTree Suites by Hilton Hotel Lexington
7,Katsuura,JP,75.24,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
15,Butaritari,KI,83.68,light rain,3.0707,172.7902,Isles Sunset Lodge
17,Natal,BR,79.45,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
18,Stabat,ID,79.0,light rain,3.761,98.4513,Link VII damai
20,Ciudad Bolivar,VE,79.99,broken clouds,8.1222,-63.5497,Hotel Edi
26,Sarangani,PH,81.03,overcast clouds,5.4033,125.4636,Ballistic Islet
30,Hilo,US,79.25,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
32,Bilma,NE,88.45,clear sky,18.6853,12.9164,Expeditions Ténére voyages
34,Vaini,TO,77.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
37,Hīt,IQ,89.17,clear sky,33.6416,42.8251,صالون زيرو
38,Atuona,PF,79.7,scattered clouds,-9.8,-139.0333,Villa Enata
41,Rikitea,PF,75.22,overcast clouds,-23.1203,-134.9692,People ThankYou
46,Mitsamiouli,KM,75.92,clear sky,-11.3847,43.2844,Foyer ADM
49,Savalou,BJ,75.56,light rain,7.9281,1.9756,Hotel F&F
51,Dingle,PH,81.7,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
52,Kapaa,US,81.19,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
63,Buraidah,SA,84.65,clear sky,26.326,43.975,فندق راحة السلام
65,George Town,MY,80.89,few clouds,5.4112,100.3354,Cititel Penang
69,San-Pédro,CI,76.98,few clouds,4.7485,-6.6363,Hotel Maria
73,Naze,JP,77.92,broken clouds,28.3667,129.4833,奄美ポートタワーホテル
74,Faanui,PF,80.26,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
77,Baculin,PH,82.65,overcast clouds,7.4525,126.5842,Shovy's Cove
89,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
90,Lábrea,BR,80.87,overcast clouds,-7.2586,-64.7981,Hotel Novo Horizonte
92,Isangel,VU,80.71,broken clouds,-19.55,169.2667,Tanna Lodge
95,Cabadiangan,PH,82.99,broken clouds,9.7531,122.4739,Kipot
97,Tautira,PF,82.42,light rain,-17.7333,-149.15,Pension Oaoa
98,Vanimo,PG,83.62,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
100,Lázaro Cárdenas,MX,81.23,overcast clouds,17.9583,-102.2,quinta antigua
102,Bemidji,US,78.91,clear sky,47.4736,-94.8803,Hampton Inn & Suites Bemidji
103,Hasaki,JP,77.29,few clouds,35.7333,140.8333,Hotel Sunrise Choshi
105,Hobyo,SO,76.91,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
109,Salalah,OM,81.52,few clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
111,Atambua,ID,76.46,broken clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
114,Chizhou,CN,84.4,moderate rain,30.6578,117.4831,Home Inn Chizhou Qiupu West Road Xiushanmen Square
120,Tchaourou,BJ,75.45,broken clouds,8.8865,2.5975,SAFIR HOTEL
124,Vung Tau,VN,80.83,overcast clouds,10.346,107.0843,Green hotel
126,Waingapu,ID,78.49,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
127,Upata,VE,76.19,scattered clouds,8.0086,-62.3989,Posada Villa Nela
133,Wanning,CN,83.25,broken clouds,18.8003,110.3967,Paradise Hotel
137,Samarai,PG,81.45,few clouds,-10.6167,150.6667,Nuli Sapi
140,Avarua,CK,77.05,light rain,-21.2078,-159.775,Paradise Inn
142,Bengkulu,ID,76.26,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
149,Dwārka,IN,84.81,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
153,Mayo,US,83.32,clear sky,38.8876,-76.5119,Resorts Resource Group International
155,Hithadhoo,MV,82.17,broken clouds,-0.6,73.0833,Scoop Guest House
156,Mīnāb,IR,87.3,few clouds,27.1467,57.0801,Bam campground
157,Plácido de Castro,BR,76.41,scattered clouds,-10.3353,-67.1856,Hotel Carioca
162,Pontianak,ID,76.98,few clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
163,Nara,JP,79.97,few clouds,34.6851,135.8049,Guesthouse Nara Komachi
169,Skeldon,GY,76.33,scattered clouds,5.8833,-57.1333,Rits Hotel
178,Fort Nelson,CA,76.59,broken clouds,58.8053,-122.7002,The Fort Nelson Hotel
179,Cayenne,GF,82.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
182,Tazmalt,DZ,78.53,overcast clouds,36.3868,4.3989,Hôtel Numédia
183,Ubari,LY,79.23,clear sky,26.5921,12.7805,فندق أوباري
185,Amahai,ID,78.13,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
186,Kahului,US,84.97,few clouds,20.8947,-156.47,Maui Seaside Hotel
193,Agutaya,PH,83.7,few clouds,11.148,120.9417,
194,Atlantic City,US,78.33,scattered clouds,39.3643,-74.4229,Courtyard by Marriott Atlantic City Beach Block
195,Greenwood,US,85.75,broken clouds,34.1668,-82.1165,Quality Inn Greenwood Hwy 25
196,Port Blair,IN,82.47,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
199,Mogadishu,SO,78.04,overcast clouds,2.0371,45.3438,Hotel Juba
203,Nha Trang,VN,82.4,overcast clouds,12.25,109.1833,Sheraton Nha Trang Hotel & Spa
204,Kavaratti,IN,83.26,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
205,Jasper,US,89.51,clear sky,37.2001,-94.3502,Guest House Motel
206,Bang Saphan,TH,76.95,overcast clouds,11.2126,99.5117,Ladawan Boutique Hotel
208,Sola,VU,80.53,overcast clouds,-13.8833,167.55,Leumerus Bungalows
211,Ugoofaaru,MV,82.89,broken clouds,5.6667,73.0,Ungoofaaru Inn
214,Rock Sound,BS,81.39,overcast clouds,24.9,-76.2,Rock Sound Club
215,Martapura,ID,77.09,overcast clouds,-3.4167,114.85,Montana Hotel Syariah
217,Salinas,US,84.0,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
218,Jonacatepec,MX,78.39,overcast clouds,18.6833,-98.8,Hotel Plaza
